52;;When Doves Cry;;Prince;;1984
53;;Anarchy In The U.K.;;The Sex Pistols;;1977
54;;When A Man Loves a Woman;;Percy Sledge;;1966
55;;Louei, Louei;;The Kingsmen;;1963
56;;Long Tall Sally;;Little Richard;;1956
57;;Whiter Shade Of Pale;;Procol Harum;;1967
58;;Billie Jean;;Michael Jackson;;1983
59;;The Times They Are A-Changin';;Bob Dylan;;1964
60;;Let's Stay Together;;Al Green;;1971
61;;Whole Lotta Shakin' Going On;;Jerry Lee Lewis;;1957
62;;Bo Diddley;;Bo Diddley;;1955
63;;For What It's Worth;;Buffalo Springfield;;1967
64;;She Loves You;;The Beatles;;1963
65;;Sunshine Of Your Love;;Cream;;1968
66;;Redemption Song;;Bob Marley And The Wailers;;1980
67;;Jailhouse Rock;;Elvis Presley;;1957
68;;Tangled Up In Blue;;Bob Dylan;;1975
69;;Crying;;Roy Orbison;;1961
70;;Walk On By;;Dionne Warwick;;1964
71;;California Girls;;The Beach Boys;;1965
72;;Papa's Got A Brand New Bag;;James Brown;;1966
73;;Summertime Blues;;Eddie Cochran;;1958
74;;Superstition;;Stevie Wonder;;1972
75;;Whole Lotta Love;;Led Zeppelin;;1969
76;;Strawberry Fields Forever;;The Beatles;;1967
77;;Mystery Train;;Elvis Presley;;1955
78;;I Got You (I Feel Good);;James Brown;;1965
79;;Mr. Tambourine Man;;The Byrds;;1965
80;;I Heard It Through The Grapevine;;Marvin Gaye;;1968
81;;Blueberry Hill;;Fats Domino;;1956
82;;You Really Got Me;;The Kinks;;1964
83;;Norwegian Woods (This Bird Has Flown);;The Beatles;;1965
84;;Every Breath You Take;;The Police;;1983
85;;Crazy;;Patsy Cline;;1961
86;;Thunder Road;;Bruce Springsteen;;1975
87;;Ring Of Fire;;Johnny Cash;;1963
88;;My Girl;;The Temptations;;1965
89;;California Dreamin';;The Mamas And The Papas;;1965
90;;In The Still Of the Night;;The Five Satins;;1956
91;;Suspicious Minds;;Elvis Presley;;1969
92;;Blitzkrieg Bop;;Ramones;;1976
93;;I Still Haven't Found What I'm Looking For;;U2;;1987
94;;Good Golly, Miss Molly;;Little Richard;;1958
95;;Blue Suede Shoes;;Carl Perkins;;1956
96;;Great Balls Of Fire;;Jerry Lee Lewis;;1957
97;;Roll Over Beethoven;;Chuck Berry;;1956
98;;Love And Happiness;;Al Green;;1972
99;;Fortunate Son;;Creedence Clearwater Revival;;1969
100;;You Can't Always Get What You Want;;The Rolling Stones;;1969
101;;Voodoo Child (Slight Return);;The Jimi Hendrix Experience;;1968
102;;Be-Bop-A-Lula;;Gene Vincent And His Blue Caps;;1956
103;;Hot Stuff;;Donna Summer;;1979
104;;Living For The City;;Stevie Wonder;;1973
105;;The Boxer;;Simon And Garfunkel;;1969
106;;Mr. Tambourine Man;;Bob Dylan;;1965
107;;Not Fade Away;;Buddy Holly And The Crickets;;1957
108;;Little Red Corvette;;Prince;;1983
109;;Brown Eyed Girl;;Van Morrison;;1967
110;;I’ve Been Loving You Too Long (To Stop Now);;Otis Redding;;1965
111;;I’m So Lonesome I Could Cry;;Hank Williams;;1949
112;;That’s All Right;;Elvis Presley;;1954
113;;Up On The Roof;;The Drifters;;1962
114;;Da Doo Ron Ron (Whe He Walked Me Home);;The Crystals;;1963
115;;You Send Me;;Sam Cooke;;1957
116;;Honky Tonk Women;;The Rolling Stones;;1969
117;;Take Me To The River;;Al Green;;1974
118;;Shout (Partes 1 y 2);;The Isley Brothers;;1959
119;;Go Your Own Way;;Fleetwood Mac;;1977
120;;I Want You Back;;The Jackson 5;;1969
121;;Stand By Me;;Ben E. King;;1961
122;;House Of The Rising Sun;;The Animals;;1964
123;;It’s A Man’s Man’s Man’s World;;James Brown;;1966
124;;Jumpin’ Jack Flash;;The Rolling Stones;;1968
125;;Will You Love Me Tomorrow;;The Shirelles;;1960
126;;Shake, Rattle & Roll;;Big Joe Turner;;1954
127;;Changes;;David Bowie;;1971
128;;Rock & Roll Music;;Chuck Berry;;1957
129;;Born To Be Wild;;Steppenwolf;;1968
130;;Maggie May;;Rod Stewart;;1971
131;;With Or Without You;;U2;;1987
132;;Who Do You Love?;;Bo Diddley;;1957
133;;Won’t Get Fooled Again;;The Who;;1971
134;;In The Midnight Hour;;Wilson Pickett;;1965
135;;While My Guitar Gently Weeps;;The Beatles;;1968
136;;Your Song;;Elton John;;1970
137;;Eleanor Rigby;;The Beatles;;1966
138;;Family Affair;;Sly And The Family Stone;;1971
139;;I Saw Her Standing There;;The Beatles;;1964
140;;Kashmir;;Led Zeppelin;;1975
141;;All I Have To Do Is Dream;;The Everly Brothers;;1958
142;;Please, Please, Please;;James Brown And His Famous Flames;;1956
143;;Purple Rain;;Prince And The Revolution;;1984
144;;I Wanna Be Sedated;;Ramones;;1978
145;;Everyday People;;Sly And The Family Stone;;1968
146;;Rock Lobster;;The B-52’s;;1979
147;;Lust For Life;;Iggy Pop;;1977
148;;Me And Bobby McGee;;Janis Joplin;;1971
149;;Cathy’s Clown;;The Everly Brothers;;1960
150;;Eight Miles High;;The Byrds;;1966
151;;Earth Angel;;The Penguins;;1954
152;;Foxy Lady;;The Jimi Hendrix Experience;;1965
153;;A Hard Day’s Night;;The Beatles;;1964
154;;Rave On;;Buddy Holly And The Crickets;;1958
155;;Proud Mary;;Creedence Clearwater Revival;;1969
156;;The Sound Of Silence;;Simon And Garfunkel;;1965
157;;I Only Have Eyes For You;;The Flamingos;;1959
158;;(We’re Gonna) Rock Around The Clock;;Bill Haley And His Comets;;1954
159;;I’m Waiting For The Man;;The Velvet Underground;;1967
160;;Bring The Noise;;Public Enemy;;1988
161;;I Can’t Stop Loving You;;Ray Charles;;1962
162;;Nothing Compares 2 U;;Sinéad O’Connor;;1990
163;;Bohemian Rhapsody;;Queen;;1975
164;;Folsom Prison Blues;;Johnny Cash;;1956
165;;Fast Cart;;Tracy Chapman;;1988
166;;Lose Yourself;;Eminem;;2002
167;;Let’s Get It On;;Marvin Gaye;;1973
168;;Papa Was A Rolling Stone;;The Temptations;;1972
169;;Losing My Religion;;R.E.M;;1991
170;;Both Sides Now;;Joni Mitchell;;1969
171;;Dancing Queen;;Abba;;1976
172;;Dream On;;Aerosmith;;1973
173;;God Save The Queen;;The Sex Pistols;;1977
174;;Paint It, Black;;The Rolling Stones;;1966
175;;I Fought The Law;;The Bobby Fuller Four;;1966
176;;Don’t Worry Baby;;The Beach Boys;;1964
177;;Free Fallin’;;Tom Petty;;1989
178;;September Gurls;;Big Star;;1974
179;;Love Will Tear Us Apart;;Joy Division;;1980
180;;Hey Ya!;;OutKast;;2003
181;;Green Onions;;Booker T. And The MG’s;;1962
182;;Save The Last Dance For Me;;The Drifters;;1960
183;;The Thill Is Gone;;B.B. King;;1969
184;;Please Please Me;;The Beatles;;1964
185;;Desolation Row;;Bob Dylan;;1965
186;;I Never Loved A Man (The Way I Love You);;Aretha Franklin;;1967
187;;Back In Blac;;AC/DC;;1980
188;;Who’ll Stop The Rain?;;Creedence Clearwater Revival;;1970
189;;Stayin’ Alive;;Bee Gees;;1977
190;;Knocking On Heaven’s Door;;Bob Dylan;;1973
191;;Free Bird;;Lynyrd Skynyrd;;1973
192;;Wichita Lineman;;Glan Campbell;;1968
193;;The Goes My Baby;;The Drifters;;1959
194;;Peggy Sue;;Buddy Holly;;1957
195;;Maybellene;;The Chantels;;1957
196;;Sweet Child O’Mine;;Guns N’ Roses;;1987
197;;Don’t Be Cruel;;Elvis Presley;;1956
198;;Hey Joe;;The Jimi Hendrix Experience;;1966
199;;Flash Light;;Parliament;;1977
200;;Loser;;Beck;;1993
201;;Bizarre Love Triangle;;New Order;;1986
202;;Come Together;;The Beatles;;1969
203;;Positively 4th Street;;Bob Dylan;;1965
204;;Try A Little Tenderness;;Otis Redding;;1966
205;;Lean On Me;;Bill Withers;;1972
206;;Reach Out, I’ll Be There;;The Four Tops;;1966
207;;Bye Bye Love;;The Everly Brothers;;1957
208;;Gloria;;Them;;1965
209;;In My Room;;The Beach Boys;;1963
210;;96 Tears;;? And The Mysterians;;1966
211;;Caroline, No;;The Beach Boys;;1966
212;;1999;;Prince;;1982
213;;Your Cheatin’ Heart;;Hank Williams;;1953
214;;Rockin’ In The Free World;;Neil Young;;1989
215;;Sh-Boom;;The Chords;;1954
216;;Do You Believe In Magic;;The Lovin’ Spoonful;;1965
217;;Jolene;;Dolly Parton;;1974
218;;Boom Boom;;John Lee Hooker;;1963
219;;Spoonful;;Howlin’ Wolf;;1960
220;;Walk Away Renne;;The Lefy Banks;;1966
221;;Walk On The Wild Side;;Lou Reed;;1972
222;;Oh, Pretty Woman;;Roy Orbison;;1964
223;;Dance To The Music;;Sly And The Family Stone;;1968
224;;Good Times;;Chic;;1979
225;;Hoochie Coochie Man;;Muddy Waters;;1954
226;;Moondance;;Van Morrison;;1970
227;;Fire And Rain;;James Taylor;;1970
228;;Should I Stay Or Should I Go;;The Clash;;1982
229;;Mannish Boy;;Muddy Waters;;1955
230;;Just Like A Woman;;Bob Dylan;;1966
231;;Sexual Healing;;Marvin Gaye;;1982
232;;Only The Lonely;;Roy Orbison;;1960
233;;We Gotta Get Out Of This Place;;The Animals;;1965
234;;I’ll Feel A Whole Lot Better;;The Byrds;;1965
235;;I Got A Woman;;Ray Charles;;1954
236;;Everyday;;Buddy Holly And The Crickets;;1957
237;;Planet Rock;;Afrika Bambaataa And The Soul Sonic Force;;1982
238;;I Fall To Pieces;;Patsy Cline;;1961
239;;The Wanderer;;Dion;;1961
240;;Son Of A Preacher Man;;Dusty Springfield;;1968
241;;Stand!;;Sly And The Family Stone;;1969
242;;Rocket Man;;Elton John;;1972
243;;Love Shack;;The B-52’s;;1989
244;;Gimme Some Lovin’;;The Spencer Davis Group;;244
245;;The Night They Drove Old Dixie Down;;The Band;;1969
246;;(Your Love Keeps Lifting Me) Higher And Higher;;Jackie Wilson;;1967
247;;Hot Fun In The Summertime;;Sly And The Family Stone;;1969
248;;Rappers Delight;;Sugarhill Gang;;1979
249;;Chain Of Fools;;Aretha Franklin;;1967
250;;Paranoid;;Black Sabbath;;1970
251;;Mack The Knife;;Bobby Darin;;1959
252;;Money Honey;;The Drifters;;1953
253;;All The Young Dudes;;Moot The Hoople;;1972
254;;Highway To Hell;;AC/DC;;1979
255;;Heart Of Glass;;Blondie;;1978
256;;Paranoid Android;;Radiohead;;1997
257;;Wild Thing;;The Troggs;;1966
258;;I Can See For Miles;;The Who;;1967
259;;Hallelujah;;Jeff Buckley;;1994
260;;Oh, What A Night;;The Dells;;1969
261;;Higher Ground;;Stevie Wonder;;1973
262;;Ooo Baby Baby;;Smokey Robinson And The Miracles;;1965
263;;He’s A Rebel;;The Crystals;;1962
264;;Sail Away;;Randy Newman;;1972
265;;Thighten Up;;Archie Bell And The Drells;;1968
266;;Walking In The Rain;;The Ronettes;;1964
267;;Personality Crisis;;New York Dolls;;1973
268;;Sunday Bloody Sunday;;U2;;1983
269;;Roadrunner;;The Modern Lovers;;1976
270;;He Stopped Loving Her Today;;George Jones;;1980
271;;Sloop John B;;The Beach Boys;;1966
272;;Sweet Little Sixteen;;Chuck Berry;;1958
273;;Something;;The Beatles;;1969
274;;Somebody To Love;;Jefferson Airplane;;1967
275;;Born In The U.S.A.;;Bruce Springsteen;;1984
276;;I’ll Take You There;;The Staple Singers;;1972
277;;Ziggy Stardust;;David Bowie;;1972
278;;Pictures Of You;;The Cure;;1989
279;;Chapel Of Love;;The Dixie Cups;;1964
280;;Ain’t No Sunshine;;Bill Withers;;1971
281;;You Are The Sunshine Of My Life;;Stevie Wonder;;1972
282;;Help Me;;Joni Mitchell;;1974
283;;Call Me;;Blondie;;1980
284;;(What’s So Funny ‘Bout) Peace Love And Understanding?;;Elvis Costello And The Attractions;;1979
285;;Somoke Stack Lightning;;Howlin’ Wolf;;1956
286;;Summer Babe;;Pavement;;1992
287;;Walk This Way;;Run-DMC;;1986
288;;Money (That’s What I Want);;Barrett Strong;;1960
289;;Can’t Buy Me Love;;The Beatles;;1964
290;;Stan;;Eminem featuring Dido;;2000
291;;She’s Not There;;The Zombies;;1964
292;;Train In Vain;;The Clash;;1979
293;;Tired Of Being Alone;;Al Green;;1971
294;;Black Dog;;Led Zeppelin;;1971
295;;Street Fighting Man;;The Rolling Stones;;1968
296;;Get Up, Stand Up;;Bob Marley And The Wailers;;1975
297;;Heart Of Gold;;Neil Young;;1972
298;;One Way Or Another;;Blondie;;1978
299;;Sign ‘O’ The Times;;Prince;;1987
300;;Like A Prayer;;Madonna;;1989
301;;Da Ya Think I’m Sexy?;;Rod Stewart;;1978
302;;Blue Eyes Crying In The Rain;;Willie Nelson;;1975
303;;Ruby Tuesday;;The Rolling Stones;;1967
304;;With A Little Help From My Friends;;The Beatles;;1967
305;;Say It Loud – I’m Black And I’m Proud;;James Brown;;1968
306;;That’s Entertainment;;The Jam;;1980
307;;Why Do Fools Fall In Love;;Frankie Lymon And The Teenagers;;1956
308;;Lonely Teardrops;;Jackie Wilson;;1958
309;;What’s Love Got To Do With It;;Tina Turner;;1984
310;;Iron Man;;Black Sabbath;;1971
311;;Wake Up Little Susie;;The Everly Brothers;;1957
312;;In Dreams;;Roy Orbison;;1963
313;;I Put A Spell On You;;Screamin’ Jay Hawkins;;1956
314;;Comfortably Numb;;Pink Floyd;;1979
315;;Don’t Let Me Be Misunderstood;;The Animals;;1965
316;;Wish You Were Here;;Pink Floyd;;1975
317;;Many Rivers To Cross;;Jimmy Cliff;;1969
318;;Alison;;Elvis Costello;;1977
319;;School’s Out;;Alice Cooper;;1972
320;;Heartbreaker;;Led Zeppelin;;1969
321;;Cortez The Killer;;Neil Young;;1975
322;;Fight The Power;;Public Enemy;;1989
323;;Dancing Barefoot;;Patti Smith Group;;1979
324;;Baby Love;;The Supremes;;1964
325;;Good Lovin’;;The Young Rascals;;1966
326;;Get Up (I Fell Like Being A) Sex Machine;;James Brown;;1970
327;;For Your Precious Love;;Jerry Butler And The Impressions;;1958
328;;The End;;The Doors;;1967
329;;That’s The Way Of The World;;Earth, Wind And Fire;;1975
330;;We Will Rock You;;Queen;;1977
331;;I Can’t Make You Love Me;;Bonnie Raitt;;1991
332;;Subterranean Homesick Blues;;Bob Dylan;;1965
333;;Spirit In The Sky;;Norman Greenbaum;;1970
334;;Wild Horses;;The Rolling Stones;;1971
335;;Sweet Jane;;The Velvet Underground;;1970
336;;Walk This Way;;Aerosmith;;1976
337;;Beat It;;Michael Jackson;;1982
338;;Maybe I’m Amazed;;Paul McCartney;;1970
339;;You Keep Me Hangin’ On;;The Supremes;;1966
340;;Baba O’Riley;;The Who;;1971
341;;The Harder They Come;;Jimmy Cliff;;1975
342;;Runaround Sue;;Dion;;1961
343;;Jim Dandy;;Le Vern Baker;;1956
344;;Piece Of My Heart;;Big Brother And The Holding Company;;1968
345;;La Bamba;;Ritchie Valens;;1958
346;;California Love;;Dr. Dre and 2Pac;;1996
347;;Candle In The Wind;;Elton John;;1973
348;;That Lady (Partes 1 y 2);;The Isley Brothers;;1973
349;;Spanish Harlem;;Ben E. King;;1960
350;;The Loco-Motion;;Little Eva;;1962
351;;The Great Pretender;;The Platters;;1955
352;;All Shook Up;;Elvis Presley;;1957
353;;Tears In Heaven;;Eric Clapton;;1992
354;;Watching The Detectives;;Elvis Costello;;1977
355;;Bad Moon Rising;;Creedence Clearwater Revival;;1969
356;;Sweet Dreams;;Eurythmics;;1983
357;;Little Wing;;Jimi Hendrix;;1968
358;;Nowhere To Run;;Martha And The Vandellas;;1965
359;;Got My Mojo Working;;Muddy Waters;;1957
360;;Killing Me Softly With His Song;;Roberta Flack;;1973
361;;Complete Control;;The Clash;;1979
362;;All You Need Is Love;;The Beatles;;1967
363;;The Letter;;The Box Tops;;1967
364;;Highway 61 Revisited;;Bob Dylan;;1965
365;;Unchained Melody;;The Righteous Brothers;;1965
366;;How Deep Is Your Love;;Bee Gees;;1977
367;;White Room;;Cream;;1968
368;;Personal Jesus;;Depeche Mode;;1989
369;;I’m A Man;;Bo Diddley;;1955
370;;The Wind Cries Mary;;Jimi Hendrix;;1967
371;;I Can’t Explain;;The Who;;1965
372;;Marquee Moon;;Television;;1977
373;;Wonderful World;;Sam Cooke;;1960
374;;Brown Eyed Handsome Man;;Chuck Berry;;1956
375;;Another Brick In The Wall Parte 2;;Pink Floyd;;1979
376;;Fake Plastic Trees;;Radiohead;;1995
377;;Hit The Road Jack;;Ray Charles;;1961
378;;Pride (In The Name Of Love);;U2;;1984
379;;Radio Free Europe;;R.E.M;;1983
380;;Goodbye Yellow Brick Road;;Elton John;;1973
381;;Tell It Like It Is;;Aaron Neville;;1966
382;;Bitter Sweet Symphony;;The Verve;;1977
383;;Whipping Post;;The Allman Brothers;;1969
384;;Ticket To Ride;;The Beatles;;1965
385;;Ohio;;Crosby, Still, Nash And Young;;1970
386;;I Know You Got Soul;;Eric B. And Rakim;;1987
387;;Tiny Dancer;;Elton John;;1977
388;;Roxanne;;The Police;;1979
389;;Just My Imagination;;The Temptations;;1971
390;;Baby I Need Your Loving;;The Four Tops;;1964
391;;Band Of Gold;;Freda Payne;;1970
392;;O-o-h Child;;The Five Stairsteps;;1970
393;;Summer In The City;;The Lovin’ Spoonful;;1966
394;;Can’t Help Falling In Love;;Elvis Presley;;1961
395;;Remember (Walkin’ In The Sand);;The Shangri-Las;;1964
396;;Thirteen;;Big Star;;1972
397;;(Don’t Fear) The Reaper;;Blue Öyster Club;;1976
398;;Sweet Home Alabama;;Lynyrd Skynyrd;;1974
399;;Enter Sandman;;Metallica;;1991
400;;Kicks;;Paul Revere And The Raiders;;1966
401;;Tonight’s The Night;;The Shirelles;;1966
402;;Thank You (Falettinme Be Mice Elf Agin);;Sly And The Family Stone;;1970
403;;C’mon Everybody;;Eddie Cochran;;1958
404;;Visions Of Johana;;Bob Dylan;;1966
405;;We ‘ve Only Just Begun;;The Carpenter;;1970
406;;I Believe I Can Fly;;R. Kelly;;1996
407;;In Bloom;;Nirvana;;1991
408;;Sweet Emotion;;Aerosmith;;1975
409;;Crossroads;;Cream;;1968
410;;Monkey Gone To Heaven;;Pixies;;1989
411;;I Feel In Love;;Donna Summer;;1977
412;;Ode To Billie Joe;;Bobbie Gentry;;1967
413;;The Girl Can’t Help It;;Little Richard;;1957
414;;Young Blood;;The Coasters;;1957
415;;I Can’t Help Myself;;The Four Tops;;1965
416;;The Boys Of Summer;;Don Henley;;1984
417;;Fuck The Police;;N.W.A;;1989
418;;Suite: Judy Blue Eyes;;Crosby, Still And Nash;;1969
419;;Nuthin’ But A ‘G’ Thang;;Dr. Dre;;1993
420;;It’s Your Thing;;The Isley Brothers;;1969
421;;Piano Man;;Billy Joel;;1973
422;;Lola;;The Kinks;;1970
423;;Blue Suede Shoes;;Elvis Presley;;1956
424;;Tumbling Dice;;The Rolling Stones;;1972
425;;William, It Was Really Nothing;;The Smiths;;1984
426;;Smoke On The Water;;Deep Purple;;1973
427;;New Year’s Day;;U2;;1983
428;;Devil With A Blue Dress On/Good Golly Miss Molly;;Mitch Ryder And The  Detroit Wheels;;1966
429;;Everybody Needs Somebody To Love;;Solomon Burke;;1964
430;;White Man In Hammersmith Palais;;The Clash;;1979
431;;Ain’t It A Shame;;Fats Domino;;1955
432;;Midnight Train To Georgia;;Gladys Knight & The Pips;;1973
433;;Ramble On;;Led Zeppelin;;1969
434;;Mustang Sally;;Wilson Pickett;;1966
435;;Beast Of Burden;;The Rolling Stones;;1978
436;;Alone Again Or;;Love;;1968
437;;Love Me Tender;;Elvis Presley;;1956
438;;I Wanna Be Your Dog;;The Stooges;;1969
439;;Pink Houses;;John Cougar Mellencamp;;1987
440;;Push It;;Salt-N-Pepa;;1987
441;;Come Go With Me;;The Dell-Vikings;;1957
442;;Keep A Knockin’;;Little Richard;;1957
443;;I Shot The Sheriff;;Bob Marley And The Wailers;;1973
444;;I Got You Babe;;Sonny And Cher;;1965
445;;Come As You Are;;Nirvana;;1991
446;;Preasure Drop;;Toot And The Maytals;;1973
447;;Leader Of The Pack;;The Shangri-Las;;1964
448;;Heroin;;The Velvet Underground;;1967
449;;Penny Lane;;The Beatles;;1967
450;;By The Time I Get To Phoenix;;Glem Campbell;;1967
451;;The Twist;;Chubby Checker;;1960
452;;Cupid;;Sam Cooke;;1961
453;;Paradise City;;Guns N’ Roses;;1987
454;;My Sweet Lord;;George Harrison;;1970
455;;All Apologies;;Nirvana;;1993
456;;Stagger Lee;;Lyoyd Price;;1958
457;;Sheena Is A Punk Rocker;;Ramones;;1977
458;;Soul Man;;Sam y David;;1967
459;;Rollin’ Stone;;Muddy Waters;;1948
460;;One Fine Day;;The Chiffons;;1963
461;;Kiss;;Prince And The Revolution;;1986
462;;Respect Yourself;;The Staple Singers;;1971
463;;Rain;;The Beatles;;1966
464;;Standing In The Shadows Of Love;;The Four Tops;;1966
465;;Surrender;;Cheap Trick;;1978
466;;Runaway;;Del Shannon;;1961
467;;Wellcome To The Jungle;;Guns N’ Roses;;1987
468;;Search And Destroy;;The Stooges;;1973
469;;It’s Too Late;;Carole King;;1970
470;;Free Man In Paris;;Joni Mitchell;;1974
471;;On The Road Again;;Willie Nelson;;1980
472;;Where Did Our Love Go;;The Supremes;;1964
473;;Do Right Woman-Do Right Man;;Aretha Franklin;;1967
474;;One Nation Under A Groove – Parte 1;;Funkadelic;;1978
475;;Sabotage;;Beastie Boys;;1994
476;;I Want To Know What Love Is;;Foreigner;;1984
477;;Super Freak;;Rick James;;1981
478;;White Rabbit;;Jefferson Airplane;;1967
479;;Lady Marmalade;;LaBelle;;1975
480;;Into The Mystic;;Van Morrison;;1970
481;;Young Americans;;David Bowie;;1975
482;;I’m Eighteen;;Alice Cooper;;1971
483;;Just Like Heaven;;The Cure;;1987
484;;I Love Rock ‘N Roll;;Joan Jett And The Blackhearts;;1982
485;;Graceland;;Paul Simon;;1986
486;;How Soon Is Now?;;The Smiths;;1985
487;;Under The Boardwalk;;The Drifters;;1964
488;;Rhiannon (Will You Ever Win);;Fleetwood Mac;;1975
489;;I Will Survive;;Gloria Gaynor;;1978
490;;Brown Sugar;;The Rolling Stones;;1971
491;;You Don’t Have To Say You Love Me;;Dusty Springfield;;1966
492;;Running On Empty;;Jackson Browne;;1977
493;;Then He Kissed Me;;The Crystals;;1963
494;;Desperado;;The Eagles;;1973
495;;Shop Around;;Smokey Robinson;;1960
496;;Miss You;;The Rolling Stones;;1978
497;;Buddy Holly;;Weezer;;1994
498;;Rainy Night In Georgia;;Brook Benton;;1970
499;;The Boys Are Back In Town;;Thin Lizzy;;1976
500;;More Than A Feeling;;Boston;;1976
